Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,15/09/95,Kaiserslautern,Bayern Munich,2,3,A,1,2,A,,,,,,,,,,,
D1,15/09/95,Karlsruhe,Dusseldorf,3,1,H,1,1,D,,,,,,,,,,,
D1,16/09/95,Dortmund,Stuttgart,6,3,H,4,1,H,,,,,,,,,,,
D1,16/09/95,Freiburg,Werder Bremen,0,1,A,0,0,D,,,,,,,,,,,
D1,16/09/95,Leverkusen,Ein Frankfurt,2,0,H,1,0,H,,,,,,,,,,,
D1,16/09/95,Munich 1860,FC Koln,2,1,H,1,1,D,,,,,,,,,,,
D1,16/09/95,Uerdingen,Schalke 04,1,1,D,0,1,A,,,,,,,,,,,
D1,17/09/95,Hamburg,Hansa Rostock,1,1,D,1,1,D,,,,,,,,,,,
D1,17/09/95,M'gladbach,St Pauli,2,4,A,0,3,A,,,,,,,,,,,
D1,22/09/95,Dusseldorf,Uerdingen,1,0,H,0,0,D,,,,,,,,,,,
D1,22/09/95,Ein Frankfurt,Dortmund,3,4,A,3,2,H,,,,,,,,,,,
D1,23/09/95,Bayern Munich,Leverkusen,1,0,H,0,0,D,,,,,,,,,,,
D1,23/09/95,FC Koln,Freiburg,1,1,D,0,1,A,,,,,,,,,,,
D1,23/09/95,Hamburg,Karlsruhe,0,0,D,0,0,D,,,,,,,,,,,
D1,23/09/95,Hansa Rostock,St Pauli,2,0,H,1,0,H,,,,,,,,,,,
D1,23/09/95,Stuttgart,M'gladbach,5,0,H,2,0,H,,,,,,,,,,,
D1,23/09/95,Werder Bremen,Kaiserslautern,1,1,D,1,0,H,,,,,,,,,,,
D1,24/09/95,Schalke 04,Munich 1860,1,1,D,1,0,H,,,,,,,,,,,
D1,29/09/95,St Pauli,Stuttgart,1,3,A,1,2,A,,,,,,,,,,,
D1,29/09/95,Uerdingen,Hamburg,1,1,D,0,1,A,,,,,,,,,,,
D1,30/09/95,Freiburg,Schalke 04,1,2,A,0,0,D,,,,,,,,,,,
D1,30/09/95,Kaiserslautern,FC Koln,1,1,D,1,1,D,,,,,,,,,,,
